dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15
0.80788,0.89813,0.03842,0.64276,0.56927,0.46834,0.24883,0.08645,0.64132,-0.92587,0.47673,0.80745,-0.20904,0.58863,0.0
-0.97945,0.0767,-0.67424,0.41095,0.91642,0.59614,0.46602,0.79631,-0.75675,-0.47589,-0.11622,-0.0278,0.66685,-0.39301,0.0
0.48845,0.88672,0.47199,0.50866,-0.94231,-0.91279,-0.25918,-0.03167,-0.02749,0.9742,0.05144,0.6904,0.11742,0.94177,0.0
-0.60522,-0.3281,-0.75259,-0.05785,-0.57593,0.17124,-0.31244,-0.59191,-0.78415,-0.49087,0.37378,-0.72447,-0.4754,0.79135,0.0
-0.77448,0.3562,-0.24866,0.29845,0.59209,-0.08493,0.84875,-0.05055,-0.23099,0.6516,-0.30362,-0.54981,0.838,-0.69282,0.0
0.14805,0.35443,-0.9934,0.80383,0.77992,0.76661,0.50938,0.80067,-0.5917,0.42046,0.49893,0.60207,-0.56345,-0.96522,0.0
0.62675,-0.50948,-0.27669,0.32078,-0.89105,-0.48408,0.09981,0.30199,0.76348,-0.61562,0.80559,-0.98337,0.41949,0.2575,0.0
-0.19815,0.30428,0.66192,0.95423,0.82567,0.25943,0.64396,0.70975,-0.27159,-0.73458,0.01502,-0.07295,0.10144,0.35092,0.0
-0.66134,0.28463,-0.99852,0.7742,0.55389,-0.67925,0.56235,0.35507,0.35183,0.62801,0.99646,-0.52882,0.30596,0.71821,0.0
0.73943,0.41636,-0.12107,-0.86865,-0.8516,-0.3162,-0.26971,0.35994,0.07812,0.24825,0.7829,-0.79797,-0.37644,0.55611,0.0
-0.9827,0.96631,0.38408,0.55558,0.01209,0.21734,-0.85889,0.42036,-0.4998,-0.98361,-0.60253,-0.76124,0.30355,-0.10006,0.0
0.42,-0.91581,0.55715,0.14452,0.03188,0.59089,-0.21684,0.24999,-0.66002,-0.17691,-0.05022,-0.39175,-0.93445,0.2459,0.0
-0.44542,0.11558,0.09151,-0.65018,-0.64543,0.78151,-0.86295,0.31919,0.62366,0.55866,-0.77526,0.25553,0.33662,0.61652,0.0
-0.97248,-0.78663,0.8532,0.47397,-0.60785,-0.70045,0.50967,-0.54619,0.71092,0.09549,0.55394,-0.25473,0.6072,-0.24111,0.0
0.99055,0.50123,0.05941,-0.28728,-0.51161,-0.37398,-0.63935,0.23718,0.54804,-0.12812,-0.56761,-0.09801,0.39268,0.41633,0.0
