dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20
-0.14269,0.0598,-0.60818,0.69124,0.41299,-0.72439,0.07823,-0.58365,0.60929,-0.1881,-0.2085,0.11966,0.9403,0.27927,-0.69527,-0.17961,0.76886,0.5739,0.58352,0.0
0.72025,0.0337,0.70255,0.10327,0.21125,-0.50431,-0.96565,0.23358,-0.07788,-0.61358,0.29522,0.47535,-0.87158,-0.29488,0.72457,0.91477,0.99442,0.57268,-0.31194,0.0
0.80736,-0.61998,0.14587,-0.81736,-0.46528,0.78057,0.22043,0.30875,0.69556,-0.06198,0.97733,0.94907,0.05118,-0.62128,0.16339,-0.88014,0.40145,0.86893,0.09442,0.0
-0.44081,-0.5149,-0.24099,0.3057,0.50828,0.96502,0.38366,0.14053,0.75614,0.12821,-0.71773,-0.05869,-0.18733,-0.58344,0.34693,-0.62205,-0.04386,-0.45221,0.29358,0.0
-0.76079,0.8625,-0.77678,0.70337,-0.20484,0.23473,0.17671,-0.76373,-0.43804,-0.92473,-0.82125,-0.09937,-0.52187,-0.89515,-0.99423,-0.04513,-0.36947,-0.36648,-0.81327,0.0
-0.28999,0.46163,-0.42164,-0.86728,-0.3547,-0.81846,0.17226,0.62408,0.30519,-0.73156,-0.17743,-0.75998,0.0037,-0.75053,-0.49611,0.51126,0.77551,0.00336,0.94116,0.0
0.71123,-0.97779,-0.94897,0.89032,-0.07981,0.63964,-0.67686,0.77003,-0.52923,0.65451,-0.48603,-0.38034,0.61411,-0.04675,0.59663,0.09514,-0.21298,0.13908,0.26032,0.0
-0.74238,0.42341,0.64527,-0.58871,-0.98187,0.90169,0.58342,0.93905,0.35071,-0.8428,0.16971,0.51367,0.71541,-0.77528,-0.84148,0.80297,0.05848,0.33303,-0.29403,0.0
0.15193,-0.85551,-0.93132,0.32104,0.95145,0.33974,-0.56336,0.23431,0.16039,0.66993,-0.6714,0.80886,0.95957,0.32487,0.32746,0.78712,-0.24398,0.30185,-0.99347,0.0
0.86555,0.96064,-0.21555,0.45478,-0.77385,-0.82857,-0.18599,0.10558,-0.05027,0.81605,0.73869,0.95593,0.79773,0.68781,0.41314,-0.59627,-0.93724,0.02714,-0.45196,0.0
-0.60177,-0.98038,0.92865,-0.0789,-0.28539,-0.36772,-0.07493,-0.84465,-0.13835,0.78515,-0.90636,0.37925,0.279,-0.1087,0.175,-0.5911,-0.22926,-0.67984,-0.53139,0.0
0.97545,0.98477,0.00454,0.20543,0.21509,-0.52048,0.34924,-0.30069,0.963,0.95861,-0.64167,0.44878,-0.461,-0.49321,-0.89354,0.60791,-0.94674,0.94442,0.24771,0.0
