dim_1,dim_2
-0.72819,0.0
-0.33978,0.0
-0.24743,0.0
0.79314,0.0
0.57613,0.0
-0.78678,0.0
-0.79974,0.0
0.45385,0.0
-0.42107,0.0
-0.00709,0.0
0.56576,0.0
0.66793,0.0
0.30064,0.0
-0.98098,0.0
0.64294,0.0
-0.29725,0.0
0.52982,0.0
-0.33998,0.0
0.53093,0.0
0.30136,0.0
0.80036,0.0
-0.74662,0.0
-0.20373,0.0
0.16264,0.0
0.59391,0.0
-0.19325,0.0
0.60975,0.0
0.0,0.0
-0.72819,0.5
-0.33978,0.5
-0.24743,0.5
0.79314,0.5
0.57613,0.5
-0.78678,0.5
-0.79974,0.5
0.45385,0.5
-0.42107,0.5
-0.00709,0.5
0.56576,0.5
0.66793,0.5
0.30064,0.5
-0.98098,0.5
0.64294,0.5
-0.29725,0.5
0.52982,0.5
-0.33998,0.5
0.53093,0.5
0.30136,0.5
0.80036,0.5
-0.74662,0.5
-0.20373,0.5
0.16264,0.5
0.59391,0.5
-0.19325,0.5
0.60975,0.5
0.0,0.5
0.65676,1.0
0.41988,1.0
0.68573,1.0
-0.27794,1.0
-0.0336,1.0
0.39467,1.0
-0.56118,1.0
-0.4882,1.0
