dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25
0.2556,-0.18606,-0.46146,-0.61602,-0.45123,-0.53965,0.59581,0.99667,0.80243,0.1175,0.79153,-0.49148,0.50738,0.28498,-0.55047,0.87509,0.39445,0.37244,-0.10562,-0.00695,0.83563,0.56657,-0.24641,-0.70303,0.0
-0.50343,0.00335,0.8178,0.77715,0.55235,-0.75114,-0.076,-0.83052,0.92277,0.11207,0.33809,0.07483,-0.27743,0.69123,-0.73214,0.36479,-0.06422,0.45661,0.79608,0.18705,-0.33795,0.48784,0.49742,-0.95875,0.0
-0.50834,-0.62783,-0.01217,-0.60562,-0.21488,-0.55631,0.69765,0.38264,0.76352,-0.25478,-0.21272,-0.63332,-0.77521,-0.15092,-0.04354,-0.66471,-0.43896,0.51162,0.52518,-0.6533,0.54305,0.49103,0.99116,-0.99333,0.0
-0.55222,0.89645,-0.16307,-0.25462,-0.78691,-0.56581,-0.16137,-0.43834,-0.78773,0.61068,-0.84814,0.21261,-0.37399,0.06218,0.26267,0.35713,0.08069,0.36957,0.73275,-0.14607,-0.80186,-0.65108,-0.7787,0.41031,0.0
-0.10867,-0.58914,-0.79547,0.30301,-0.92448,0.44133,0.06023,0.89976,-0.14303,-0.4646,-0.43207,-0.33799,-0.23397,-0.94683,0.55011,0.20356,0.78848,0.38935,-0.60474,-0.97983,0.88786,-0.16494,0.44605,0.05008,0.0
-0.43899,-0.46352,0.3372,-0.69102,0.90482,0.35754,0.36689,-0.6537,-0.58892,-0.22684,-0.87075,0.29999,-0.30791,0.65147,-0.78134,-0.28226,0.57121,0.30727,0.57079,0.29652,-0.51111,-0.11997,-0.69979,0.66258,0.0
-0.41247,-0.79118,0.5805,0.70591,-0.90122,-0.6037,0.47654,0.35754,0.54417,0.53648,0.67287,0.97544,0.69734,-0.09276,-0.49804,0.06317,0.76322,-0.551,-0.61629,-0.32684,-0.78702,0.92225,0.88491,-0.37747,0.0
0.10877,-0.19554,-0.45238,-0.39855,-0.22918,-1e-05,0.25732,0.39165,0.53809,-0.69187,-0.08348,-0.92328,0.93416,0.6893,0.23804,0.34759,-0.43656,0.03707,-0.02854,-0.50816,0.25655,0.04281,-0.57623,0.95217,0.0
-0.74995,-0.89847,0.81846,0.73542,-0.14132,0.76632,-0.66984,-0.05247,0.9652,0.65204,0.47174,0.76854,0.40906,-0.14645,-0.98647,0.45603,-0.3779,0.56242,0.00809,0.2522,-0.60762,-0.46349,0.22595,-0.14898,0.0
0.46828,0.06611,-0.67808,0.34054,0.45306,-0.09783,-0.81476,-0.3323,-0.60233,-0.96662,-0.58843,-0.07301,-0.88265,0.44222,-0.21863,-0.94102,-0.17326,-0.52309,-0.82411,0.00369,0.00457,0.93257,0.31367,-0.54491,0.0
