dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25
-0.8828,-0.87496,0.27627,-0.07762,0.90044,-0.74268,-0.27089,-0.42588,-0.79426,0.22357,-0.00861,0.74465,0.32833,-0.26459,0.02013,0.40387,0.76405,-0.30359,-0.36567,0.11982,0.0627,-0.61477,-0.32503,-0.83935,0.0
-0.40841,-0.16812,-0.34438,0.39245,0.38619,0.34708,0.21695,0.54121,0.51215,-0.86113,0.38415,-0.86477,0.49461,-0.16861,0.76942,0.82725,-0.14049,-0.0218,-0.0863,0.63694,0.25871,-0.41163,-0.80427,0.21933,0.0
0.49481,0.38822,-0.72772,0.66001,0.72154,0.01983,0.56532,-0.46996,0.40631,0.55695,0.42112,0.57531,-0.50209,0.49369,-0.63335,0.29691,-0.95118,0.35716,-0.66731,-0.21839,-0.53938,0.26188,-0.11152,-0.31536,0.0
-0.83715,0.93592,0.77199,0.76795,0.39163,-0.7178,-0.25302,0.60776,-0.28297,0.57729,-0.27422,0.30385,-0.52843,-0.63039,0.61871,-0.27549,-0.08981,-0.68423,0.84277,0.33779,0.42198,0.07666,0.98691,0.05615,0.0
0.5425,-0.22249,-0.95393,0.77591,0.00201,-0.30375,0.95396,-0.91026,0.58381,-0.36835,-0.53771,-0.3998,-0.14427,-0.42915,0.22584,0.49043,-0.34539,0.294,-0.68511,0.1535,0.75009,0.55026,0.48401,0.5818,0.0
-0.47663,0.65018,-0.36016,0.9144,0.1609,0.65783,0.02172,-0.23019,-0.62732,0.9997,0.11407,0.57638,0.21266,-0.49778,-0.30244,-0.48789,0.8756,-0.33101,-0.28612,-0.29358,-0.72036,-0.29245,-0.33599,-0.03601,0.0
-0.907,-0.35075,0.31078,-0.71946,-0.31399,-0.03231,-0.9906,-0.80279,-0.99325,0.78515,-0.79236,0.11595,0.37536,0.75177,0.55559,0.28941,0.92914,-0.87487,0.33683,0.7116,-0.72607,-0.85603,-0.37157,-0.50922,0.0
-0.47191,0.87064,0.44721,0.11059,0.80792,0.00777,-0.22531,-0.71826,0.52089,-0.8259,-0.34141,-0.87798,-0.19348,-0.0736,-0.71992,-0.29655,0.22194,0.4573,0.6366,0.31612,0.81661,-0.16489,0.00205,0.91345,0.0
0.85764,-0.16893,0.27381,0.31163,-0.78066,-0.11245,0.0279,0.52035,0.41061,0.72631,0.60652,-0.72021,-0.79812,0.04938,-0.10367,-0.5471,0.77516,-0.61666,-0.26384,-0.77037,0.76069,0.89789,0.74432,0.96357,0.0
0.94133,-0.67288,-0.45053,-0.46473,-0.77351,0.8835,-0.03827,0.49003,0.53033,0.32075,0.23798,0.95455,-0.74649,-0.80703,-0.13433,0.92547,-0.91257,0.00621,0.93209,0.56798,-0.17378,0.8282,-0.70112,-0.84225,0.0
-0.16438,-0.20584,-0.44505,0.81385,0.50802,-0.77343,-0.42191,-0.69824,0.15803,-0.70747,-0.29221,0.7117,0.01865,0.98558,-0.89369,0.92309,0.18923,-0.54474,0.68572,-0.3276,0.77556,0.54658,-0.08188,0.31264,0.0
0.28345,0.46983,-0.56805,0.5115,-0.43208,0.82173,-0.86798,-0.48946,-0.84812,0.69758,-0.7845,-0.186,-0.37589,-0.15873,-0.15142,-0.6354,0.50792,-0.54008,0.54706,0.06899,-0.79451,0.69361,0.34885,0.54994,0.0
0.73172,0.03077,0.78346,0.50391,0.00073,0.24788,-0.7285,0.97359,-0.06882,0.03282,-0.74381,0.9346,0.29005,0.69164,-0.19267,-0.02653,0.75769,0.39604,-0.82711,-0.85173,0.08264,-0.07878,-0.57179,0.70734,0.0
0.86737,-0.10949,0.09773,-0.16853,-0.9386,0.60307,-0.22577,0.92924,0.4746,-0.79993,0.08421,-0.73871,0.40205,0.56522,-0.09917,-0.15405,0.3554,-0.39884,-0.00346,0.72962,0.35706,0.03352,0.54999,0.71952,0.0
0.84232,0.18687,0.48531,0.87686,0.40225,-0.20984,0.09403,-0.71456,0.33138,-0.0346,0.58575,-0.96436,0.66801,-0.13716,-0.83472,-0.28362,0.74977,0.52117,-0.56163,-0.5072,-0.89402,-0.17474,-0.92982,0.74568,0.0
0.83534,-0.15348,0.33911,-0.73131,-0.82976,0.5811,-0.76805,-0.74739,0.86013,0.6689,0.9006,-0.77996,0.44652,0.78797,0.28971,-0.84549,0.75549,-0.1063,0.48771,0.19092,0.22766,0.43076,-0.68737,0.8268,0.0
0.38557,0.21619,0.20761,-0.20726,-0.36009,-0.08312,0.9491,-0.2629,-0.04897,0.15517,0.74857,-0.27178,-0.24637,-0.20418,-0.44786,0.10983,0.15452,0.04076,-0.92942,-0.2098,-0.09652,0.38344,-0.08495,-0.85761,0.0
0.66096,0.39016,-0.973,0.13627,-0.8332,0.30009,0.73096,-0.44606,-0.58883,0.09204,-0.35412,-0.83297,0.43235,0.78505,-0.35327,-0.15069,0.46507,0.27067,0.01378,0.55082,0.12531,-0.78993,0.96418,0.52903,0.0
-0.8383,0.56822,-0.40492,0.3157,-0.08031,0.16079,-0.17041,0.58654,-0.44868,-0.85254,0.3729,0.11859,0.02308,0.96899,-0.06323,-0.1426,0.2822,-0.66809,-0.1947,-0.84917,0.87036,0.02314,-0.59178,0.05723,0.0
-0.1491,-0.82999,0.99719,0.17559,-0.0688,-0.46027,-0.24705,0.11012,-0.49522,-0.99245,0.28242,-0.81355,-0.1846,0.41181,0.18226,0.55227,-0.83387,0.53314,0.40034,0.91925,0.62807,0.54534,-0.99992,-0.62303,0.0
0.67711,0.19435,0.8927,0.48377,0.49179,-0.56793,-0.05186,0.31064,0.41596,0.41204,-0.17261,-0.99479,-0.13267,-0.61145,0.96112,0.87779,-0.61449,-0.49606,-0.03059,0.69874,0.54272,0.38732,-0.9001,0.89561,0.0
-0.91533,-0.966,-0.26323,-0.82756,-0.97064,-0.47143,-0.90514,0.59115,0.20041,0.8443,-0.10633,-0.22348,0.18416,0.36919,-0.98729,-0.16435,0.5563,0.07891,-0.94896,0.80991,-0.76393,-0.9132,0.81787,0.45889,0.0
-0.86266,0.50784,0.2291,0.70436,0.2555,-0.25436,0.4031,0.56187,-0.88184,-0.58867,-0.20804,0.94572,0.67345,0.32483,0.41855,-0.09588,0.86902,0.15112,0.15492,0.32741,-0.88877,-0.34787,-0.38873,-0.5652,0.0
0.36587,-0.69174,-0.84431,-0.86914,-0.75239,0.3758,0.68315,0.38956,-0.38897,-0.22419,-0.21884,0.55405,-0.4088,0.43919,-0.70085,-0.90824,-0.54805,-0.42688,-0.922,0.58325,0.86789,-0.60512,-0.80385,0.62393,0.0
0.67964,-0.75077,0.40119,0.0096,0.14542,0.17546,0.5447,0.41795,0.63004,0.70504,0.83836,-0.86139,-0.4794,0.45659,0.06021,0.79034,-0.89715,0.49576,0.13285,-0.05717,-0.99549,-0.79273,0.05425,0.66453,0.0
0.76396,-0.73715,-0.8892,-0.39654,-0.9661,-0.12699,-0.24464,0.54763,0.47447,0.02327,-0.13946,0.45014,0.43046,-0.02391,-0.87652,-0.65212,0.53947,0.85111,0.6423,0.283,0.38998,-0.92875,0.873,-0.22626,0.0
-0.51771,-0.02171,0.45274,0.78,-0.85649,0.49584,-0.62888,-0.73528,0.92784,-0.68706,-0.78206,0.98569,-0.64752,-0.49295,0.39263,-0.06118,-0.96675,-0.4261,-0.81902,-0.78291,-0.29036,0.84497,-0.20123,-0.79748,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.8828,-0.87496,0.27627,-0.07762,0.90044,-0.74268,-0.27089,-0.42588,-0.79426,0.22357,-0.00861,0.74465,0.32833,-0.26459,0.02013,0.40387,0.76405,-0.30359,-0.36567,0.11982,0.0627,-0.61477,-0.32503,-0.83935,0.5
