dim_1,dim_2,dim_3
0.95785,0.26902,0.0
-0.12509,0.11949,0.0
0.39937,0.49908,0.0
0.48295,-0.99009,0.0
-0.72836,-0.5916,0.0
0.1202,-0.94871,0.0
0.67547,-0.31644,0.0
0.02593,-0.2333,0.0
0.21447,0.18083,0.0
-0.18167,-0.811,0.0
0.72098,0.03477,0.0
-0.30805,0.43714,0.0
-0.5639,0.86812,0.0
0.08214,0.75972,0.0
-0.57456,0.4363,0.0
0.80239,0.44,0.0
-0.82482,0.04307,0.0
-0.98675,-0.72202,0.0
-0.99943,0.94992,0.0
0.69634,-0.482,0.0
-0.33873,0.51885,0.0
-0.66812,0.1956,0.0
-0.79378,0.18362,0.0
0.93655,-0.83486,0.0
-0.97466,-0.70396,0.0
0.26184,0.46732,0.0
-0.41133,0.6934,0.0
0.0,0.0,0.0
0.95785,0.26902,0.5
-0.12509,0.11949,0.5
0.39937,0.49908,0.5
0.48295,-0.99009,0.5
-0.72836,-0.5916,0.5
0.1202,-0.94871,0.5
0.67547,-0.31644,0.5
0.02593,-0.2333,0.5
0.21447,0.18083,0.5
-0.18167,-0.811,0.5
0.72098,0.03477,0.5
-0.30805,0.43714,0.5
-0.5639,0.86812,0.5
0.08214,0.75972,0.5
-0.57456,0.4363,0.5
0.80239,0.44,0.5
-0.82482,0.04307,0.5
-0.98675,-0.72202,0.5
-0.99943,0.94992,0.5
0.69634,-0.482,0.5
-0.33873,0.51885,0.5
-0.66812,0.1956,0.5
-0.79378,0.18362,0.5
0.93655,-0.83486,0.5
-0.97466,-0.70396,0.5
0.26184,0.46732,0.5
-0.41133,0.6934,0.5
0.0,0.0,0.5
-0.20798,-0.82793,1.0
-0.54602,-0.81937,1.0
0.46472,-0.88462,1.0
-0.70934,-0.35498,1.0
0.7106,0.772,1.0
-0.72257,-0.90752,1.0
0.72331,0.56953,1.0
-0.0699,-0.09153,1.0
