dim_1,dim_2,dim_3,dim_4,dim_5,dim_6
-0.60987,0.30434,-0.72188,-0.20758,-0.27411,0.0
-0.98716,0.07182,0.54252,0.20261,-0.94236,0.0
0.26414,0.03609,-0.04574,0.0073,-0.26667,0.0
0.79852,0.16775,0.88374,0.46202,0.01633,0.0
-0.08199,-0.44106,0.62822,-0.06191,0.35404,0.0
-0.36002,-0.00733,-0.67727,-0.50364,0.39988,0.0
-0.14303,0.8618,0.10655,-0.28412,0.01323,0.0
0.01502,0.47466,0.32126,-0.17715,-0.54291,0.0
-0.42836,0.24505,0.26028,0.76695,0.69297,0.0
-0.7657,-0.52234,-0.10262,-0.7748,0.89311,0.0
0.80716,-0.39452,-0.97704,-0.17751,-0.78992,0.0
0.36922,-0.18145,0.5355,-0.34617,-0.69541,0.0
0.31071,0.7201,-0.78978,0.3712,0.54506,0.0
-0.49358,0.90361,-0.45701,0.04738,0.6037,0.0
-0.27442,0.78852,0.27961,-0.49746,-0.06475,0.0
-0.1331,0.09434,0.29497,0.1788,-0.05266,0.0
0.98614,0.06397,0.86495,-0.21523,-0.09189,0.0
-0.70846,0.734,-0.23345,-0.45669,0.78114,0.0
0.29765,-0.27334,0.84316,-0.93523,0.65399,0.0
-0.34927,-0.62174,-0.35617,-0.04401,-0.86595,0.0
0.075,-0.63334,-0.06271,0.3223,0.89396,0.0
-0.56231,-0.8084,0.22678,-0.21224,0.55822,0.0
-0.31891,0.79648,-0.87031,-0.51827,0.42833,0.0
-0.16678,0.48767,-0.42273,-0.54772,0.38384,0.0
-0.83284,-0.72311,-0.8901,0.31701,0.71057,0.0
-0.22645,-0.30179,-0.80669,0.22259,0.67414,0.0
0.99462,0.22426,0.56104,0.45944,0.62087,0.0
0.0,0.0,0.0,0.0,0.0,0.0
-0.60987,0.30434,-0.72188,-0.20758,-0.27411,0.5
-0.98716,0.07182,0.54252,0.20261,-0.94236,0.5
0.26414,0.03609,-0.04574,0.0073,-0.26667,0.5
0.79852,0.16775,0.88374,0.46202,0.01633,0.5
-0.08199,-0.44106,0.62822,-0.06191,0.35404,0.5
-0.36002,-0.00733,-0.67727,-0.50364,0.39988,0.5
-0.14303,0.8618,0.10655,-0.28412,0.01323,0.5
0.01502,0.47466,0.32126,-0.17715,-0.54291,0.5
-0.42836,0.24505,0.26028,0.76695,0.69297,0.5
-0.7657,-0.52234,-0.10262,-0.7748,0.89311,0.5
0.80716,-0.39452,-0.97704,-0.17751,-0.78992,0.5
0.36922,-0.18145,0.5355,-0.34617,-0.69541,0.5
0.31071,0.7201,-0.78978,0.3712,0.54506,0.5
-0.49358,0.90361,-0.45701,0.04738,0.6037,0.5
-0.27442,0.78852,0.27961,-0.49746,-0.06475,0.5
-0.1331,0.09434,0.29497,0.1788,-0.05266,0.5
0.98614,0.06397,0.86495,-0.21523,-0.09189,0.5
-0.70846,0.734,-0.23345,-0.45669,0.78114,0.5
0.29765,-0.27334,0.84316,-0.93523,0.65399,0.5
-0.34927,-0.62174,-0.35617,-0.04401,-0.86595,0.5
0.075,-0.63334,-0.06271,0.3223,0.89396,0.5
-0.56231,-0.8084,0.22678,-0.21224,0.55822,0.5
-0.31891,0.79648,-0.87031,-0.51827,0.42833,0.5
-0.16678,0.48767,-0.42273,-0.54772,0.38384,0.5
-0.83284,-0.72311,-0.8901,0.31701,0.71057,0.5
-0.22645,-0.30179,-0.80669,0.22259,0.67414,0.5
0.99462,0.22426,0.56104,0.45944,0.62087,0.5
0.0,0.0,0.0,0.0,0.0,0.5
-0.03492,0.3512,0.05869,-0.54067,-0.05185,1.0
0.71145,0.45898,-0.55168,-0.57017,0.83888,1.0
0.58142,0.30943,-0.47983,-0.21214,0.7882,1.0
0.71895,-0.4267,0.34492,0.98801,0.86334,1.0
-0.55248,-0.95282,0.27985,-0.68636,0.21552,1.0
-0.4363,0.25241,-0.23463,-0.20744,0.66574,1.0
0.90875,-0.6045,0.0695,-0.43124,0.54431,1.0
-0.75441,0.33307,-0.05535,-0.09673,0.55025,1.0
